order_id,customer_id,order_date,total_amount
1,140,19-02-2020,22.40969259
2,376,27-02-2023,388.1174298
3,351,15-10-2023,397.2363642
4,484,19-03-2020,364.6214455
5,22,01-12-2021,108.389625
6,491,19-02-2021,371.4911984
7,18,19-06-2021,402.8326596
8,48,20-03-2023,273.6132518
9,259,22-11-2023,381.7989112
10,361,01-10-2022,74.03404629
11,38,25-01-2020,292.3097227
12,259,23-08-2024,366.6425025
13,493,11-07-2018,282.1196896
14,217,03-05-2021,209.0747589
15,232,09-03-2022,342.4001716
16,197,19-10-2020,374.5459545
17,440,20-11-2023,70.86868885
18,360,31-05-2020,315.5235424
19,128,16-10-2020,389.9916454
20,301,15-03-2017,93.41605403
21,326,21-04-2021,420.5695663
22,246,27-09-2020,210.620126
23,408,10-04-2024,232.0581065
24,16,13-02-2020,414.2829955
25,230,06-10-2021,166.1110136
26,195,18-08-2022,355.7778914
27,317,19-11-2021,270.5547383
28,7,21-03-2019,403.6551694
29,408,20-11-2019,466.8928829
30,181,06-12-2018,399.2149405
31,140,28-09-2024,379.1312422
32,205,16-05-2018,232.7516846
33,228,07-12-2018,449.8667905
34,475,21-06-2019,258.198569
35,277,19-06-2018,81.54741904
36,463,16-07-2017,281.0381501
37,288,02-01-2024,193.2922674
38,189,22-11-2023,489.4642164
39,413,03-04-2020,207.9131552
40,324,08-04-2018,478.9192365
41,294,01-03-2021,72.30104638
42,144,09-09-2019,233.8746499
43,451,17-08-2022,305.9906827
44,233,21-12-2021,37.71701999
45,167,18-09-2023,252.2694261
46,459,25-02-2019,164.8794545
47,95,30-11-2018,64.39263802
48,473,01-10-2022,87.95595813
49,96,23-04-2022,450.8965673
50,209,15-12-2017,485.8644996
51,136,02-10-2022,195.2954446
52,474,28-05-2023,30.97058007
53,288,24-12-2023,230.4572007
54,490,03-02-2021,393.0048372
55,199,30-11-2023,118.1237174
56,442,08-11-2019,48.32548366
57,412,02-06-2021,296.4310789
58,450,11-12-2021,82.35858931
59,441,15-03-2019,491.6605925
60,11,01-10-2018,155.4481281
61,338,31-01-2024,282.0900526
62,13,20-05-2020,72.98053152
63,490,24-06-2021,373.684981
64,363,01-10-2017,498.6489548
65,463,17-04-2017,262.0574032
66,89,16-01-2017,312.9589338
67,27,10-08-2023,446.5727506
68,252,08-03-2017,416.0276762
69,474,19-03-2021,40.5139296
70,262,22-12-2018,471.5474804
71,426,29-04-2024,327.7283554
72,483,12-01-2019,266.5572999
73,278,08-09-2020,184.3128682
74,292,08-06-2024,456.9226709
75,330,28-04-2023,286.2267066
76,293,17-03-2021,113.9118662
77,425,20-07-2024,213.5812244
78,410,02-09-2017,113.0105009
79,144,16-01-2024,463.3257668
80,482,05-08-2019,379.2990484
81,138,05-04-2021,144.1132969
82,255,04-02-2020,459.1301983
83,312,29-11-2021,188.2183176
84,259,10-08-2019,174.9476958
85,179,23-04-2020,415.2031179
86,111,28-10-2022,415.1360163
87,109,13-01-2024,227.2869252
88,390,04-07-2020,91.81579789
89,384,19-03-2020,433.7517044
90,217,29-01-2024,113.2187988
91,478,20-06-2023,38.73255295
92,267,26-09-2021,72.74460876
93,319,10-11-2021,484.5074179
94,289,09-04-2020,41.1285924
95,17,26-05-2019,52.26462786
96,400,12-02-2017,172.7960783
97,336,08-06-2021,44.23790263
98,348,13-05-2024,331.568115
99,342,12-07-2021,317.7897448
100,116,08-10-2019,276.8973528
101,10,08-09-2024,348.9972172
102,343,26-05-2020,373.3860207
103,337,09-07-2022,105.7099214
104,7,27-11-2017,185.3296834
105,205,10-08-2019,346.858591
