order_item_id,order_id,product_id,quantity,price
1,3059,37,3,64.54653035
2,1795,97,2,58.1117443
3,1747,58,4,86.97971067
4,1821,58,3,45.05164572
5,4526,83,3,66.54490033
6,1227,12,1,16.81570117
7,3438,91,1,55.39025163
8,883,35,2,65.64605992
9,797,88,3,71.13978259
10,1723,36,2,56.70534088
11,1129,74,3,89.9120385
12,1845,84,3,91.93451841
13,2511,72,2,60.47341022
14,2204,40,1,90.03072914
15,2833,19,1,99.32654378
16,522,74,1,13.07520352
17,2468,82,2,21.57193031
18,2026,26,2,25.21250906
19,2997,56,4,82.38494975
20,2364,57,4,72.50812306
21,4336,26,4,68.81996009
22,2210,85,3,45.60664512
23,1768,62,3,42.45287715
24,2889,96,3,76.88064232
25,3596,12,1,50.6440862
26,2624,99,4,60.85751144
27,494,41,3,56.53807645
28,4208,56,4,60.84403948
29,4163,20,4,56.8911639
30,3358,25,3,25.02331096
31,2048,53,3,79.74895004
32,172,4,2,35.52027703
33,3327,49,1,72.83319246
34,2191,15,2,50.60054141
35,796,25,4,11.81396591
36,2101,88,1,59.0957361
37,1900,84,2,31.43277624
38,4990,59,4,40.91748314
39,1277,43,2,83.9295582
40,2155,7,2,20.05427389
41,3746,81,4,67.31733649
42,2275,54,1,75.66154412
43,1592,50,1,79.21439337
44,4013,57,2,46.45725016
45,4119,43,2,18.70198991
46,3140,18,3,66.41725755
47,1351,93,3,43.69845086
48,3704,60,3,60.87466324
49,3101,39,3,84.43895293
50,1218,45,3,56.74178069
51,770,40,2,41.8234533
52,2464,94,1,61.33511915
53,484,15,4,31.64149177
54,2699,31,3,21.48209204
55,3736,52,4,78.96786938
56,3808,54,1,61.59441703
57,3790,29,4,95.37599421
58,615,91,2,49.92820353
59,4924,80,1,23.86927867
60,4541,94,4,86.60727409
61,1675,62,1,74.24072941
62,4797,31,1,57.01290353
63,2195,84,4,52.64884121
64,2688,45,2,42.02598606
65,3902,52,3,26.65350072
66,76,63,3,66.39265362
67,258,71,4,79.82743803
68,2976,38,2,73.04099682
69,1173,9,3,96.28209712
70,4394,50,2,56.37973159
71,2659,48,3,57.76333412
72,2874,44,4,92.9841059
73,202,34,1,30.28300435
74,3469,57,4,54.10498481
75,1327,99,4,89.05816888
76,3835,34,2,38.34619172
77,2486,31,3,42.7891114
78,266,15,1,88.849971
79,1716,16,1,54.82182139
80,1497,66,4,31.08682874
81,1549,75,1,66.8876675
82,2449,48,3,25.42214056
83,1663,53,4,56.13373283
84,1994,71,2,50.49274414
85,313,86,2,35.33765395
86,866,21,2,34.2632436
87,426,58,4,29.86814182
88,2317,80,3,87.71687345
89,1663,2,2,93.76485102
90,4481,9,3,18.36972969
91,489,52,3,79.52163979
92,2872,38,2,19.65178761
93,1532,39,4,12.33062173
94,4279,32,1,55.02902584
95,4022,13,1,31.98552606
96,4363,31,1,59.17733992
97,2097,77,1,19.4691694
98,1087,74,3,38.23312389
99,690,68,2,20.63476323
100,458,83,3,90.2593105
101,1827,27,1,29.02017788
102,3059,55,1,25.42211455
103,3107,81,3,92.36796496
104,748,59,2,49.7661375
105,291,24,2,91.36799734
106,964,95,3,84.96102663
107,3312,27,2,32.14386665
108,1503,91,1,89.49245505
109,4706,68,2,90.60662644
110,1654,15,1,88.01188271
111,427,68,2,75.1388254
112,3163,35,3,53.12075931
113,268,56,1,37.7077099
114,526,2,4,35.73768209
115,844,65,3,41.59054259
116,4254,73,4,24.12073678
117,4503,42,2,84.5950606
118,1259,70,4,66.02737547
119,2922,89,3,92.31836879
120,2156,21,2,44.46522745
121,1072,87,3,12.59969657
122,3357,72,1,20.24732781
123,4342,89,3,83.29257613
124,2275,90,2,84.35403877
125,1316,11,4,14.86857645
126,4083,68,3,14.82825715
127,140,69,3,83.17366305
128,3480,75,4,12.29251726
129,2836,21,1,31.0946247
130,1033,23,1,19.15071561
131,4128,42,3,35.71892688
132,3261,70,4,23.5059947
133,1036,38,1,53.97044398
134,800,10,3,80.12822662
135,552,4,3,45.57537015
136,977,94,1,18.94554304
137,1098,40,2,28.09043256
138,1520,22,3,94.17298032
139,3457,100,1,22.97188668
140,1309,70,2,13.36294712
141,325,94,1,49.40274016
142,4573,4,1,18.6766315
143,991,77,1,52.68553247
144,4633,85,1,52.10510265
145,1883,4,3,47.20142814
146,1091,51,3,27.48488775
